[13/01/2025 21:01:05] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:06] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:06] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:06] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:06] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:06] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:06] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:07] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:07] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:07] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:07] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:07] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:07] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:08] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:08] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:08] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:08] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:08] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:08] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:09] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:09] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:09] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:09] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:09] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:09] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:09] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:10] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:10] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:10] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:10] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:10] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:11] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:11] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:11] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:11] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:11] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:11] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:11] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:12] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:12] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:12] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:12] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:13] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:13] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:13] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:13] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:13] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:13] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:14] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:14] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:14] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:14] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:14] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:15] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:15] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:15] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:15] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:15] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:15] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:15] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:16] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:16] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:16] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:16] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:17] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:17] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:17] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:18] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:18] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:18] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:18] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:18] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:18] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:19] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:19] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:19] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:19] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:20] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:20] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:20] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:20] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:20] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:20] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:20] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:20] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:21] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:21] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:21] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:21] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:21] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:21] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:21] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:22] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:22] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:22] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:22] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:22] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:01:22] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[13/01/2025 21:01:22] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
